sample_id,label,group_id,image_path,wnid
0,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_2830.JPEG,n02102040
1,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_8541.JPEG,n03445777
2,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_6851.JPEG,n03425413
3,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_27571.JPEG,n03425413
4,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_28742.JPEG,n03417042
5,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_32982.JPEG,n03394916
6,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_30700.JPEG,n03394916
7,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_11062.JPEG,n03417042
8,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_18571.JPEG,n03425413
9,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_18592.JPEG,n01440764
10,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_5370.JPEG,n02102040
11,497,0,E:\CO\data\tasks\imagenette\val\n03028079\ILSVRC2012_val_00028310.JPEG,n03028079
12,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_14232.JPEG,n03445777
13,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_1401.JPEG,n02979186
14,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_34492.JPEG,n03394916
15,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_35812.JPEG,n03394916
16,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_6772.JPEG,n03425413
17,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_3281.JPEG,n01440764
18,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_35360.JPEG,n03394916
19,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_11612.JPEG,n01440764
20,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_532.JPEG,n03028079
21,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_7521.JPEG,n01440764
22,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_8311.JPEG,n01440764
23,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_15240.JPEG,n03028079
24,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_1870.JPEG,n02102040
25,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_2441.JPEG,n03445777
26,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_16861.JPEG,n03000684
27,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_9021.JPEG,n03417042
28,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_8272.JPEG,n02102040
29,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_38041.JPEG,n03394916
30,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_69371.JPEG,n03888257
31,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_760.JPEG,n03888257
32,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_23801.JPEG,n03888257
33,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_1090.JPEG,n03028079
34,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_16741.JPEG,n03888257
35,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_3180.JPEG,n02102040
36,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_15932.JPEG,n03000684
37,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_7181.JPEG,n03445777
38,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_25670.JPEG,n03394916
39,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_4131.JPEG,n03445777
40,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_10410.JPEG,n01440764
41,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_16142.JPEG,n02979186
42,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_1381.JPEG,n02979186
43,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_19282.JPEG,n03425413
44,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_8861.JPEG,n03445777
45,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_6271.JPEG,n03425413
46,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_1300.JPEG,n02102040
47,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_39321.JPEG,n03028079
48,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_4852.JPEG,n03445777
49,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_30332.JPEG,n03888257
50,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_43982.JPEG,n03888257
51,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_13742.JPEG,n02979186
52,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_5031.JPEG,n02979186
53,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_8542.JPEG,n03425413
54,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_610.JPEG,n02102040
55,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_7531.JPEG,n02979186
56,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_2610.JPEG,n03000684
57,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_12802.JPEG,n03028079
58,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_5621.JPEG,n03888257
59,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_7630.JPEG,n03445777
60,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_9371.JPEG,n03028079
61,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_19350.JPEG,n03425413
62,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_60810.JPEG,n03394916
63,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_520.JPEG,n03445777
64,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_5280.JPEG,n02979186
65,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_14490.JPEG,n01440764
66,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_19251.JPEG,n03425413
67,491,0,E:\CO\data\tasks\imagenette\val\n03000684\ILSVRC2012_val_00011170.JPEG,n03000684
68,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_2772.JPEG,n02979186
69,482,0,E:\CO\data\tasks\imagenette\val\n02979186\ILSVRC2012_val_00043121.JPEG,n02979186
70,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_8150.JPEG,n01440764
71,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_18590.JPEG,n03417042
72,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_850.JPEG,n03445777
73,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_4382.JPEG,n03445777
74,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_6012.JPEG,n02979186
75,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_12190.JPEG,n03417042
76,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_19250.JPEG,n03425413
77,0,0,E:\CO\data\tasks\imagenette\val\n01440764\n01440764_9572.JPEG,n01440764
78,569,0,E:\CO\data\tasks\imagenette\val\n03417042\n03417042_18551.JPEG,n03417042
79,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_19322.JPEG,n02979186
80,491,0,E:\CO\data\tasks\imagenette\val\n03000684\n03000684_6640.JPEG,n03000684
81,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_6172.JPEG,n02979186
82,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_45631.JPEG,n03394916
83,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_6082.JPEG,n02102040
84,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_12092.JPEG,n03425413
85,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_7150.JPEG,n02102040
86,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_1881.JPEG,n03028079
87,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_4511.JPEG,n02979186
88,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_7422.JPEG,n03028079
89,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_29670.JPEG,n03028079
90,497,0,E:\CO\data\tasks\imagenette\val\n03028079\n03028079_99351.JPEG,n03028079
91,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_142.JPEG,n03888257
92,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_5790.JPEG,n02102040
93,482,0,E:\CO\data\tasks\imagenette\val\n02979186\n02979186_15350.JPEG,n02979186
94,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_3530.JPEG,n02102040
95,574,0,E:\CO\data\tasks\imagenette\val\n03445777\n03445777_5912.JPEG,n03445777
96,217,0,E:\CO\data\tasks\imagenette\val\n02102040\n02102040_2750.JPEG,n02102040
97,571,0,E:\CO\data\tasks\imagenette\val\n03425413\n03425413_17212.JPEG,n03425413
98,566,0,E:\CO\data\tasks\imagenette\val\n03394916\n03394916_29722.JPEG,n03394916
99,701,0,E:\CO\data\tasks\imagenette\val\n03888257\n03888257_3932.JPEG,n03888257
